,credit_score,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
9069,619,Female,32,4,175406.13,2,1,1,172792.43,1
2603,643,Female,34,7,160426.07,1,0,1,188533.11,0
7738,561,Male,33,6,0.0,2,0,0,173680.39,0
1579,618,Male,41,8,37702.79,1,1,1,195775.48,0
5058,714,Male,37,9,148466.93,2,0,1,151280.96,0
5753,760,Female,41,6,0.0,2,0,0,101491.23,0
3548,770,Male,37,5,141547.26,2,0,1,180326.83,0
409,537,Female,41,3,138306.34,1,1,0,106761.47,0
4097,597,Female,26,7,0.0,2,1,0,110253.2,0
6461,710,Female,36,4,116085.06,1,1,0,58601.61,0
5601,704,Female,44,9,153656.85,1,1,0,158742.81,0
5231,822,Male,38,6,128289.7,3,1,0,9149.96,1
3777,543,Female,31,2,147674.26,1,1,1,16658.76,0
2726,829,Female,37,3,103457.76,1,0,0,1114.12,0
477,611,Female,40,8,100812.33,2,1,0,147358.27,0
1329,743,Female,40,6,0.0,1,1,0,28280.8,1
4035,769,Female,38,2,0.0,2,0,0,75578.67,0
9642,704,Male,38,6,106687.76,1,1,0,173776.5,0
1777,715,Male,34,4,124314.45,1,0,0,97782.92,0
6096,642,Male,41,4,157777.58,1,1,0,67484.6,0
751,758,Female,47,9,95523.16,1,1,0,73294.48,0
5792,562,Male,38,5,0.0,1,1,0,115700.2,0
4060,640,Female,29,4,0.0,2,1,0,44904.26,0
9041,513,Female,49,5,171601.27,1,1,0,126223.84,0
6030,487,Male,33,8,145729.71,1,1,0,41365.85,0
5898,699,Male,34,2,117468.67,1,1,0,185227.42,0
9338,558,Male,58,2,142537.18,1,1,1,88791.83,0
9160,778,Male,24,4,0.0,2,1,1,162809.2,0
9996,516,Male,35,10,57369.61,1,1,1,101699.77,0
5151,774,Female,35,3,121418.62,1,1,1,24400.37,0
468,536,Male,35,8,0.0,2,1,0,64833.28,0
1545,602,Female,42,6,158414.85,1,1,1,131886.46,0
6311,741,Male,29,8,0.0,2,1,1,115994.52,0
2683,850,Female,23,9,143054.85,1,0,1,62980.96,0
8966,737,Male,43,8,96353.8,1,0,0,10209.8,0
6181,570,Male,39,10,129674.89,2,1,0,80552.36,0
1025,582,Female,32,4,0.0,2,1,0,59668.81,0
5112,536,Female,28,4,0.0,1,1,1,136197.65,0
8562,697,Male,63,7,148368.02,1,0,0,118862.08,1
5368,538,Female,62,3,75051.49,1,0,0,17682.02,1
2354,731,Male,35,2,127862.93,2,1,0,139083.7,0
7278,642,Female,33,4,84607.34,2,0,1,60059.47,0
3602,667,Male,77,2,0.0,1,1,1,34702.92,0
773,767,Male,36,3,139180.2,1,0,0,123880.19,0
6773,625,Male,43,4,122351.29,1,1,0,71216.6,0
8809,593,Female,38,5,142658.04,2,0,1,135337.11,0
3382,655,Female,72,5,138089.97,2,1,1,99920.41,0
641,706,Female,29,5,112564.62,1,1,0,42334.38,0
4233,705,Male,32,3,0.0,2,0,0,129576.99,0
3815,650,Male,33,0,98064.97,1,1,0,52411.99,0
4104,850,Male,55,6,0.0,1,1,0,944.41,1
9925,694,Female,38,5,195926.39,1,1,1,85522.84,0
1108,679,Male,38,7,110555.37,2,1,0,46522.68,0
3527,849,Male,69,7,71996.09,1,1,1,139065.94,0
3495,591,Male,46,4,129269.27,1,1,0,163504.33,0
1420,724,Male,45,5,83888.54,1,0,1,34121.81,0
6923,806,Male,34,5,113958.55,1,0,1,32125.98,0
3881,588,Female,64,3,0.0,1,1,1,189703.65,0
8353,524,Female,32,6,0.0,1,1,1,132861.9,1
6245,591,Male,39,8,0.0,2,0,0,42392.24,0
4938,773,Male,34,10,126979.75,1,0,0,36823.28,0
6798,800,Male,60,6,88541.57,2,1,1,131718.12,0
7812,532,Male,24,8,142755.25,1,0,0,34231.48,0
1680,705,Male,39,6,133261.13,1,1,1,78065.9,0
6715,808,Female,67,10,124577.15,1,0,1,169894.4,0
633,540,Male,44,3,164113.04,2,1,1,12120.79,0
2569,641,Female,40,2,110086.69,1,1,0,159773.14,0
7359,666,Male,36,4,120165.4,2,1,0,33701.5,0
2166,667,Male,40,9,0.0,1,1,1,96670.2,0
8169,635,Male,27,3,127009.83,1,1,0,161909.95,0
8845,729,Female,39,1,131513.26,1,1,1,193715.0,0
2825,600,Male,40,1,141136.79,1,1,1,67803.83,0
4087,637,Male,60,3,0.0,2,1,1,70174.03,0
6243,608,Male,33,1,102772.67,2,1,0,70705.58,0
8364,446,Female,45,10,125191.69,1,1,1,128260.86,1
3941,654,Male,32,9,121455.65,1,1,0,190068.53,1
9179,693,Female,34,10,107556.06,2,0,0,154631.35,0
8075,850,Male,58,8,156652.13,1,0,0,25899.21,1
9195,529,Male,29,4,135759.4,1,0,0,112813.79,1
4128,639,Female,37,5,151242.48,1,0,1,49637.65,0
1172,647,Female,43,3,122717.53,2,1,1,87000.39,0
8668,532,Female,37,5,0.0,2,0,1,6761.84,0
4222,850,Male,40,6,0.0,1,1,0,136985.08,1
4834,752,Female,35,2,0.0,1,1,0,44335.54,1
2576,645,Male,36,4,59893.85,2,1,0,43999.64,0
1989,695,Male,28,0,96020.86,1,1,1,57992.49,0
6973,659,Male,39,8,106259.63,2,1,1,198103.32,0
5836,618,Female,29,10,100315.1,2,1,1,32526.64,0
4532,548,Male,38,0,178056.54,2,1,0,38434.73,0
3209,525,Male,26,7,153644.39,1,1,1,63197.88,0
3855,708,Male,32,3,151691.44,2,1,1,172810.51,0
2628,634,Male,48,2,107247.69,1,1,1,103712.05,1
7803,619,Female,52,8,124099.13,1,0,0,23904.52,0
1410,523,Female,73,7,0.0,2,0,0,130883.9,1
8257,571,Male,40,5,0.0,2,0,0,72849.29,0
7386,666,Female,37,2,158468.76,1,0,1,93266.01,0
